# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE67026|other_methylation|Mus musculus|32|GSE67026_RAW.tar(54MB)|development,epigenetics,gene_regulation|Epigenetic Memory Is Not Intrinsic To Transcription Factor-Mediated Reprogramming|SuperSeries composed SubSeries listed|
GSE67025|wgbs|Mus musculus|6|GSE67025_RAW.tar(27MB)|immunology,development,epigenetics,gene_regulation|Epigenetic Memory Is Not Intrinsic To Transcription Factor-Mediated Reprogramming [Bisulfite-Seq]|Somatic cells reprogrammed pluripotency different methods comparison pluripotent obtained nuclear transfer induced stem iPSCs exhibit higher number errors most abnormalities described iPSC technology|
GSE59339|methylation_array|Homo sapiens|62|GSE59339_non_normalized.txt.gz(9MB), GSE59339_RAW.tar(6MB)|immunology,epigenetics,lung_respiratory|Characteristic DNA methylation profiles in peripheral blood monocytes are associated with inflammatory phenotypes of asthma|Epigenetic changes caused environmental exposures contribute heterogeneous response investigate alterations purified|
GSE60113|medip_seq|Mus musculus|8|GSE60113_Flu_TCDD.rpm.WIG.gz(21MB), GSE60113_Flu_VEH.rpm.WIG.gz(23MB), GSE60113_Naive_TCDD.rpm.WIG.gz(22MB), GSE60113_Naive_VEH.rpm.WIG.gz(22MB)|immunology,development,epigenetics,infectious_disease|Linking the aryl hydrocarbon receptor with altered DNA methylation patterns and developmentally induced aberrant antiviral T cell responses [MeDIP-Seq]|Successfully fighting infection requires properly tuned immune system Recent epidemiological exposure pollutants bind AHR poorer later life triggering durably alters unknown mouse model activation|
GSE60062|wgbs|Mus musculus|2|GSE60062_RAW.tar(3.6GB)|neuroscience,epigenetics,signal_transduction|Length-dependent gene misregulation in Rett syndrome (Bisulfite-seq)|Disruption MECP2 leads RTT severe neurological disorder features autism encodes methyl-DNA-binding protein proposed transcriptional repressor despite numerous examining neuronal expression mutants|
GSE59575|other_methylation|Mus musculus|10|GSE59575_RAW.tar(76MB)|cancer,development,epigenetics,reproduction,cell_stress|Direct but No Transgenerational Effects of Decitabine and Vorinostat on Male Fertility|Epigenetic drugs actively altering epigenome tumours developed use anti-cancer therapies potentially affect DNA methylome spermatozoa seems essential analysed possible drug absence gross differences|
GSE52588|methylation_array|Homo sapiens|87|GSE52588_raw_data.txt.gz(194MB), GSE52588_RAW.tar(183MB)|neuroscience,epigenetics,hematopoiesis|Identification of a DNA methylation signature in blood from subjects affected by Down syndrome|characterized wide spectrum clinical signs include cognitive endocrine disorders haematological abnormalities established causative defect trisomy chromosome molecular bases phenotype still largely|
GSE63347|methylation_array|Homo sapiens|71|GSE63347_datSignal.csv.gz(575MB), GSE63347_Explanation_of_characteristic_variables2.txt.gz(825B), GSE63347_RAW.tar(183MB)|neuroscience,epigenetics,cell_stress|DNA methylation profiles of brain samples from Down Syndrome subjects and controls.|Human Beadchip obtain across approximately 486 000 CpGs Dataset included multiple regions cerebellum temporal/occipital/frontal cortex goal evalute effect trisomy levels epigenetic age Explanation|
GSE64097|methylation_array|Mus musculus|6|GSE64097_Normalized_data_with_probenames.txt.gz(1MB), GSE64097_RAW.tar(59MB)|cancer,immunology,development,metabolism,epigenetics,crispr_gene_editing,liver|Murine liver tissue, Mdr2-/+ control vs Mdr2-KO|Chronic inflammation precedes majority hepatocellular carcinomas HCC explore connection DNA methylation late precancerous stages development Mdr2/Abcb4-knockout mice model inflammation-mediated|
GSE62719|other_methylation|Mus musculus|10|GSE62719_RAW.tar(10MB)|development,epigenetics,reproduction,crispr_gene_editing|Haploinsufficiency, but not defective paternal 5mC oxidation, accounts for the developmental defects of maternal Tet3 knockouts|DNA demethylation genome zygotes takes place various mammals mice human Recent achieved Tet3-mediated iterative 5-methylcytosine coupled replication-dependent dilution believed required mouse given|
GSE66350|methylation_array|Rattus norvegicus|40|GSE66350_RAW.tar(1.1GB)|epigenetics|Role of DNA Methylation in the Nucleus Accumbens in Incubation of Cocaine Craving|SuperSeries composed SubSeries listed|
GSE66348|methylation_array|Rattus norvegicus|15|GSE66348_Normalized_data_with_probename.txt.gz(36MB), GSE66348_RAW.tar(673MB)|epigenetics|Rat DNA methylation in the Nucleus Accumbens in Incubation of Cocaine Craving|profiling rats self administered subjected withdrawal days without extinction tests|
GSE66347|methylation_array|Rattus norvegicus|10|GSE66347_Normalized_data_with_probename.txt.gz(25MB), GSE66347_RAW.tar(449MB)|cancer,epigenetics|Rat DNA methylation in the Nucleus Accumbens in Incubation of Cocaine Craving and treatments with DNA methylation modifying drugs|profiling rats self administered subjected withdrawal days treated aCSF RG108 SAM extinction tests|
GSE58538|methylation_array|Homo sapiens|95|GSE58538_File_S1_-_DMRS_tumors_-_all_figures.zip.gz(130MB), GSE58538_File_S2_-_DMRs_CLs_-_DMRforPairs_significant_results.zip.gz(220MB), GSE58538_RAW.tar(160KB), GSE58538_S1_S2_supplementaryfiles_README.txt(763B), GSE58538_signals.txt.gz(388MB), GSE58538_supplementary_hidden_markov_model_processed_data.csv.gz(3MB)|cancer,development,epigenetics,infectious_disease|Genome wide DNA methylation profiles provide clues to the origin and pathogenesis of germ cell tumors|GCT originate cells different developmental stages type thought inherit early embryonic undergo characteristic epigenetic reset maturation aims insight timing biology various subtypes GCTs|
GSE65196|wgbs|Homo sapiens; Mus musculus|224|GSE65196_RAW.tar(2.5GB)|development,epigenetics|Single-cell DNA methylome sequencing and bioinformatic inference of epigenetic cell state dynamics|describe method whole genome bisulfite small populations WGBS cells scWGBS optimized profiling methylation many samples low coverage developed uses collections methylomes technological advances|
GSE59388|other_methylation|Mus musculus|2|GSE59388_RAW.tar(1.2GB)|epigenetics,skeletal_muscle,crispr_gene_editing|Effect of Dnmt3a deletion on the global DNA methylation status of osteoclasts|Epigenetic regulation fundamental mediating various cellular processes osteoclastogenesis elucidated MBD-seq investigate derived wild-type osteoclast-specific knockout mice|
GSE56602|other_methylation|Homo sapiens|310|GSE56602_RAW.tar(518MB)|cancer,immunology,development,epigenetics|Two-Track Epigenetic Remodeling and Backtracking to Embryonic Stem Cell Bivalency in B-cell Acute Lymphoblastic Leukemias|SuperSeries composed SubSeries listed|
GSE56601|wgbs|Homo sapiens|2|GSE56601_WGBS_processed_data.txt.gz(322MB)|cancer,immunology,development,epigenetics|WGBS data of pediatric B-cell acute leukemias|DNA methylomes 227 lymphoblastic B-ALLs whole-genome bisulfite sequencing high-definition microarrays along RNA expression profiles current link methylome embryonic stem ESC bivalency tumor cells|
GSE66121|rrbs|Homo sapiens|42|GSE66121_RAW.tar(944MB)|cancer,immunology,epigenetics|Genome-wide DNA methylation maps in chronic lymphocytic leukemia cells determined by next-generation sequencing (RRBS)|CLL biologically clinically heterogeneous disease somatic hypermutation status immunoglobulin heavy chain variable IGHV genes one most robust prognostic markers Patients unmutated U-CLL typically|
GSE53694|medip_seq|Mus musculus|2|GSE53694_RAW.tar(271MB)|neuroscience,epigenetics|Methylation dynamics of mouse neuron by MeDIP-seq and MRE-seq|DNA|
GSE36054|methylation_array|Homo sapiens|192|GSE36054_non-normalized.txt.gz(455MB), GSE36054_RAW.tar(183MB)|epigenetics|Methylation Profiling of Blood DNA from Healthy Children|level peripheral leukocytes Illumina HumanMethylation450 BeadChip Groupings family membership requested provided submitter|
GSE62592|other_methylation|Homo sapiens|4|GSE62592_RAW.tar(32MB)|cancer,immunology,epigenetics,infectious_disease,drug_response|HEK 293T cells HELP-tagging cytosine methylation data treated with 5-aza-2-deoxycytidine|DNA abnormally regulated human disease effects gene transcription appear causally related pathogenesis potential use pharmacological agents reverse dysregulation attractive possibility test 5-aza-CdR|
GSE52706|other_methylation|Danio rerio|12|GSE52706_RAW.tar(3.3GB)|development,epigenetics,gene_regulation|Developmental enhancers revealed by extensive DNA methylome maps of zebrafish early embryos|SuperSeries composed SubSeries listed|
GSE52704|other_methylation|Danio rerio|6|GSE52704_RAW.tar(17MB)|development,epigenetics,gene_regulation|Developmental enhancers revealed by extensive DNA methylome maps of zebrafish early embryos (MRE-seq)|methylation undergoes dynamic changes cell differentiation Recent genome-wide discovered tissue-specific differentially methylated regions DMRs often overlap distal cis-regulatory elements dynamics|
GSE52703|medip_seq|Danio rerio|6|GSE52703_RAW.tar(3.3GB)|development,epigenetics,gene_regulation|Developmental enhancers revealed by extensive DNA methylome maps of zebrafish early embryos (MeDIP-seq)|methylation undergoes dynamic changes cell differentiation Recent genome-wide discovered tissue-specific differentially methylated regions DMRs often overlap distal cis-regulatory elements dynamics|
GSE54961|methylation_array|Homo sapiens|4|GSE54961_RAW.tar(106MB)|cancer,development,metabolism,epigenetics,liver|Epigenome analysis of serum cell-free circulating DNA in progression of HBV-related Hepatocellular carcinoma|Purpose Aberrantly methylated hallmarks many cancers HCC included Tumor shed circulation stream methylation less-invasive accessable way judge primary status goals compare profiling different stages|
GSE55659|hmc_seq|Mus musculus|6|GSE55659_RAW.tar(27MB)|development,epigenetics,gene_regulation|Single base resolution analysis of 5-formyl and 5-carboxyl cytosine reveals the actual promoter DNA methylation dynamics in embryonic stem cells [RRBS]|catalysed methyltransferases DNMTs necessary correct development other hand demethylation mediated Ten Eleven Translocation Tet proteins oxidation 5-methyl 5mC 5-hydroxyl 5hmC 5fC 5caC Thymine-DNA|
GSE55658|hmc_seq|Mus musculus|4|GSE55658_RAW.tar(5MB)|development,epigenetics,gene_regulation|Single base resolution analysis of 5-formyl and 5-carboxyl cytosine reveals the actual promoter DNA methylation dynamics in embryonic stem cells [MAB-Seq]|catalysed methyltransferases DNMTs necessary correct development other hand demethylation mediated Ten Eleven Translocation Tet proteins oxidation 5-methyl 5mC 5-hydroxyl 5hmC 5fC 5caC Thymine-DNA|
GSE58695|wgbs|Homo sapiens|2|GSE58695_RAW.tar(2.8GB)|cancer,epigenetics,gut_intestine|The effects of the global loss of DNA methylation on the functional cancer epigenome (Bisulfite-seq)|compare nucleosome occupancy patterns HCT116 colon cells genetic derivatives DKO1 lack DNMT3B DNMT1 activity|
GSE64499|other_methylation|Arabidopsis thaliana|3|GSE64499_RAW.tar(249MB)|epigenetics,eye_vision|MethlyC-Seq of nrpd1-3, nrpd1-12, and nrpe1-11|MethylC-Seq single-base resolution DNA methylation status mutants|
GSE58790|other_methylation|Arabidopsis thaliana|1|GSE58790_RAW.tar(90MB)|epigenetics,cell_stress|MethlyC-Seq of ros1-13 mutant|MethylC-Seq single-base resolution DNA methylation status|
GSE53033|other_methylation|Arabidopsis thaliana|1|GSE53033_RAW.tar(91MB)|epigenetics|MethlyC-Seq of Col-0 background wild-type (WT)|MethylC-Seq single-base resolution DNA methylation status|
GSE41933|methylation_array|Homo sapiens|12|GSE41933_RAW.tar(183MB), GSE41933_signal_intensities.txt.gz(51MB)|development,metabolism,epigenetics,skeletal_muscle,hematopoiesis|Human bone and marrow niche formation by mesenchymal progenitors in vivo is predefined by an organotypic epigenetic signature|analyzed DNA methylation characteristics stem cells MSPCs different tissue sources white adipose WAT umbilical cord dermal fibroblasts HumanMethylation450K array able endochondral ossification|
GSE63421|methylation_array|Homo sapiens|6|GSE63421_RAW.tar(183MB), GSE63421_signals.txt.gz(13MB)|cancer,development,epigenetics,gut_intestine,gene_regulation|5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [Methylation450 Array]|discovery hydroxymethylation 5-hmC potentially controls DNA changes typical neoplasia prompted investigate behavior globally reduced proliferating cells tumors gut crypt progenitors arise colorectal|
GSE62950|methylation_array|Homo sapiens|112|GSE62950_RAW.tar(15MB)|cancer,epigenetics,lung_respiratory|DNA Methylation and RNA Expression Profiles in Lung Adenocarcinomas|SuperSeries composed SubSeries listed|
GSE62948|methylation_array|Homo sapiens|56|GSE62948_non-normalized.txt.gz(9MB), GSE62948_RAW.tar(6MB)|cancer,epigenetics,lung_respiratory,drug_response|DNA Methylation and RNA Expression Profiles in Lung Adenocarcinomas [DNA methylation]|cancer occurs never-smokers Epigenetic changes potentially represent important diagnostic prognostic therapeutic targets lungs paired adjacent nonmalignant tissue correlated differential gene samples|
GSE47071|methylation_array|Homo sapiens|89|GSE47071_non-normalized_Signal_A.txt.gz(6MB), GSE47071_non-normalized_Signal_B.txt.gz(5MB), GSE47071_RAW.tar(6MB)|cancer,development,epigenetics,gut_intestine,gene_regulation|5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [Methylation27 Array]|discovery hydroxymethylation 5-hmC potentially controls DNA changes typical neoplasia prompted investigate behavior globally reduced proliferating cells tumors gut crypt progenitors arise colorectal|
GSE40736|methylation_array|Homo sapiens|388|GSE40736_RAW.tar(1.2GB)|epigenetics,lung_respiratory|DNA Methylation Changes and Childhood Asthma in the Inner City|SuperSeries composed SubSeries listed|
GSE40576|methylation_array|Homo sapiens|194|GSE40576_matrix-raw-values.txt.gz(478MB), GSE40576_RAW.tar(183MB)|immunology,development,epigenetics,lung_respiratory,skin|DNA Methylation Changes and Childhood Asthma in the Inner City [methylation]|Background Epigenetic marks like heritable influenced environment direct maturation cellslymphocytes enhance development allergic airways disease mice hypothesized inner-city children Methods|
GSE54278|other_methylation|Mus musculus|18|GSE54278_RAW.tar(105MB)|epigenetics|Functional consequences of DNA-methylation in response to regular exercise|SuperSeries composed SubSeries listed|
GSE54277|other_methylation|Mus musculus|6|GSE54277_Processed_Data_RRBS.txt.gz(8MB)|development,metabolism,epigenetics,skeletal_muscle,gene_regulation|Genome-wide changes in DNA methylation in response to physical exercise|describe DNA-methylation muscle trained mice comparison sedentary controls 2762 genes exhibited differentially methylated CpGs putative promoter regions majority related growth differentiation minor|
GSE59712|other_methylation|Arabidopsis thaliana|3|GSE59712_RAW.tar(335MB)|epigenetics,plant_biology|MethlyC-Seq of Col-0 WT, idm3-3 and mbd7-2 (CS876032) mutant|eukaryotes heterochromatin characterized numerous epigenetic marks DNA methylation Spreading nearby active genes must avoided order maintain appropriate gene expression uncover Arabidopsis|
GSE58787|other_methylation|Arabidopsis thaliana|3|GSE58787_RAW.tar(271MB)|epigenetics,plant_biology|MethlyC-Seq of wild type (with 35S-SUC2 transgene) and idm3-1, mbd7-1 mutants (same 35S-SUC2 background)|eukaryotes heterochromatin characterized numerous epigenetic marks DNA methylation Spreading nearby active genes must avoided order maintain appropriate expression uncover Arabidopsis|
GSE56639|wgbs|Gallus gallus|1|GSE56639_RAW.tar(1.9GB)|epigenetics|Evolutionary consequences of DNA methylation on the GC content in vertebrate genomes|many vertebrates characteristic variation explain origin mainly three proposed selection mutation bias GC-biased gene conversion present short-scale unidirectional exchanges homologous chromosomes|
GSE55763|methylation_array|Homo sapiens|2711|GSE55763_normalized_betas.txt.gz(9.7GB), GSE55763_RAW.tar(183MB), GSE55763_unmethylated_methylated_signal_intensities.txt.gz(5.7GB)|cancer,development,epigenetics|A coherent approach for analysis of the Illumina HumanMethylation450 BeadChip improves data quality and performance in epigenome-wide association studies|developed comprehensive pipeline conduct EWAS Infinium 664 individuals samples measured duplicate propose new approaches control normalisation batch correction control-probe adjustment data-quality|
GSE54150|other_methylation|Mus musculus|56|GSE54150_RAW.tar(310MB)|development,epigenetics,reproduction|Pregnancy-associated alterations in DNA methylation patterns of mammary epithelial stem cells|SuperSeries composed SubSeries listed|
GSE54149|rrbs|Mus musculus|18|GSE54149_RAW.tar(198MB)|development,epigenetics,reproduction|Pregnancy-associated alterations in DNA methylation patterns of mammary epithelial stem cells [mRRBS]|gland development luminal differentiation occur largely postnatally puberty most effects inducing distinct epigenetic state remained stable life|
GSE65097|methylation_array|Homo sapiens|38|GSE65097_Amr_raw_methylation_data_SLE_neutrophils.txt.gz(476MB), GSE65097_RAW.tar(183MB)|immunology,epigenetics,hematopoiesis|Epigenome profiling reveals significant DNA demethylation of interferon signature genes in lupus neutrophils|genome-wide patterns within low-density granulocytes patients demographically matched controls|
GSE64577|wgbs|Homo sapiens|8|GSE64577_RAW.tar(422MB)|epigenetics,aging,cell_stress|Track normalization and averaging of bislufite-seq DNA methylation data across various cell and tissue types|tracks bisulfite sequencing BS-seq experiments sorted processed in-house algorithm functionality followed generation average|
GSE59858|wgbs|Homo sapiens|24|GSE59858_RAW.tar(18MB)|immunology,epigenetics,gene_regulation|Defining CD4 T Cell Memory by the Epigenetic Landscape of CpG DNA Methylation [Bisulfite-Seq]|cells primed rapid responses antigen molecular responsible priming incompletely defined promoters modification regulates transcription targeted sequencing 2100 genes 000 mapped deep activation human|
GSE57411|wgbs|Mus musculus|6|GSE57411_RAW.tar(188MB), GSE57411_TKO_DNMT3.tab.gz(160MB)|development,epigenetics,gene_regulation|Genomic profiling of DNA methyltransferases reveals a role for DNMT3B in genic methylation [Bisulfite-Seq]|epigenetic modification transcriptional repression promoters essential mammalian development Establishment mediated novo DNMT3A DNMT1 ensures maintenance replication Absence enzymes lethal somatic|
GSE56429|hmc_seq|Mus musculus|8|GSE56429_5caC_TDG_KO_site.txt.gz(68KB), GSE56429_5fC_TDG_KO_site.txt.gz(100KB), GSE56429_RAW.tar(517MB)|development,epigenetics|Base-resolution maps of 5-formylcytosine and 5-carboxylcytosine reveal genome-wide DNA demethylation dynamics|5-methylcytosine 5mC predominant epigenetic modification plays critical mammalian development dysregulated various human pathologies mammals TET family dioxygenases oxidize 5-hydroxymethylcytosine|
GSE59200|other_methylation|Homo sapiens|30|GSE59200_RAW.tar(282MB)|cancer,epigenetics,skeletal_muscle|Cytosine methylation data generated by HELP-tagging from human osteosarcoma biopsy samples|most common primary malignant bone tumor children Validated markers disease prognosis available diagnosis lacking genome-wide DNA linked clinical outcomes reported address tested methylome over|
GSE65037|other_methylation|Mus musculus|23|GSE65037_deseq_All_elements_mESC_MPC.D4.tab.gz(3MB), GSE65037_deseq_All_elements_mESC_MPC.P.tab.gz(3MB), GSE65037_deseq_All_elements_mESC_QC.tab.gz(3MB), GSE65037_deseq_All_elements_MPC.D4_QC.tab.gz(3MB), GSE65037_deseq_All_elements_MPC.P_MPC.D4.tab.gz(3MB), GSE65037_deseq_All_elements_MPC.P_QC.tab.gz(3MB), GSE65037_deseq_All_elements_MPC.P_SC.AP.tab.gz(3MB), GSE65037_normalized_reads_AIMS_mouse.tab.gz(6MB), GSE65037_reads_AIMS_mouse.tab.gz(6MB)|cancer,development,epigenetics,skeletal_muscle|Deconstruction of DNA methylation patterns during myogenesis reveals specific epigenetic events in the establishment of the skeletal muscle lineage|Cellular differentiation involves widespread reprogramming modulation genome-wide dynamics embryonic stem cells primary myoblasts terminal differentiated myotubes mature myofibers 000 differentially|
GSE64940|methylation_array|Homo sapiens|216|GSE64940_RAW.tar(161MB)|neuroscience,development,epigenetics,hematopoiesis|DNA methylation in newborn cordblood|extensive variation individuals ethnic groups differences arise combination genetic non-genetic influences potential modifiers include nutritional cues early life experience social physical|
GSE58066|other_methylation|Mus musculus|2|GSE58066_RAW.tar(7.8GB)|development,epigenetics,reproduction|Dnmt3L-histone H3 binding is necessary for male fertility and non-CG methylation|Patterns DNA established gametogenesis catalytically-inactive adaptor crucial ensure occurs correctly vitro binds terminal tail interaction development unknown spermatogenesis Mutant animals exhibit|
GSE56388|other_methylation|Arabidopsis thaliana|3|GSE56388_RAW.tar(300MB)|epigenetics|MethylC-Seq of ago6-2, ago4-6 and ago4-6 ago6-2 double mutants|single-base resolution DNA methylation status|
GSE58889|rrbs|Homo sapiens|149|GSE58889_RAW.tar(364MB)|cancer,immunology,epigenetics|Methylation disorder in CLL|RRBS WGBS primary human chronic lymphocytic leukemia normal healthy donor cell samples Due patient privacy concerns raw made available via controlled access dbGaP http www ncbi nlm nih|
GSE56359|rrbs|Mus musculus|4|GSE56359_RAW.tar(137MB)|development,cardiovascular,epigenetics,hematopoiesis,microbiology,gene_regulation|Scl specifies hemogenic endothelium and inhibits cardiogenesis via primed enhancers [RRBS]|Scl/Tal1 confers competence prevents cardiomyogenesis embryonic directly activates broad regulatory network required hematopoietic stem/progenitor cell HS/PC development represses transcriptional|
GSE43262|hmc_seq|Mus musculus|2|GSE43262_RAW.tar(2MB)|epigenetics|Ascorbic acid enhances Tet-mediated 5-methylcytosine oxidation and promotes DNA demethylation in mammals.|occurs multiple cellular processes regulation poorly understood report vital nutrient factor vitamin induces mammalian cells levels active 5mC products 5-formylcytosine 5-carboxylcytosine increase|
GSE70364|rrbs|Homo sapiens|17|GSE70364_RAW.tar(2.2GB)|development,cardiovascular,metabolism,epigenetics,reproduction|Perturbed neonatal size is associated with differential DNA methylation and gene expression in human placentas|Fetal growth utero affected inherent genetic programming combination environmental factors maternal health nutrition Epidemiologic growth-altered fetuses either growth-restricted IUGR large|
GSE68622|methylation_array|Homo sapiens|9|GSE68622_RAW.tar(183MB)|cancer,epigenetics|whole-genome SNP-CN and DNA methylation data from cell lines originating from patients with multiple myeloma|SuperSeries composed SubSeries listed|
