# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE132967|cut_and_run|Mus musculus|20|GSE132967_RAW.tar(557MB)|cancer,immunology,development,gene_regulation|CUT&RUN comparing occupancy of MAX, MNT, MYC in MAX WT and KO B220+ cells|goal genomic E2F1 presence absence transcription factor regarded obligate dimerization partner normal development neoplasia poorly defined B-cell specific deletion modest effect completely abrogates|
GSE128483|cut_and_run|Mus musculus|21|GSE128483_ALP_WT_DHS_peaks.txt.gz(2MB), GSE128483_ALP_WT_DHS.se-W100-normalized.wig.gz(21MB), GSE128483_EILP_IgG-W50-normalized.wig.gz(8MB), GSE128483_EILP_TCF1_peaks.txt.gz(128KB), GSE128483_EILP_TCF1-W50-normalized.wig.gz(6MB), GSE128483_EILP_WT_DHS_peaks.txt.gz(2MB), GSE128483_EILP_WT_DHS.se-W100-normalized.wig.gz(19MB), GSE128483_ILCP_WT_DHS_peaks.txt.gz(2MB), GSE128483_ILCP_WT_DHS.se-W100-normalized.wig.gz(21MB)|development,epigenetics|Dynamic chromatin structure during early ILC progenitor differentiation|characterize epigenomes DNase-seq CUT RUN scMNase-seq assays all-lymphoid ALP innate lymphoid EILP cell ILCP cells|
GSE124557|cut_and_tag|Homo sapiens|59|GSE124557_Bench_top_CnT.txt.gz(1KB), GSE124557_Bench_top_CnT_v2.txt.gz(2KB), GSE124557_RAW.tar(2.5GB)|immunology,epigenetics,gene_regulation|CUT&Tag for efficient epigenomic profiling of small samples and single cells|Many chromatin features play critical regulating gene expression complete understanding regulation require mapping specific high resolution describe Cleavage Under Targets Tagmentation|
GSE129119|cut_and_tag|Homo sapiens|965|GSE129119_RAW.tar(32MB)|immunology,epigenetics,gene_regulation|CUT&Tag for efficient epigenomic profiling of small samples and single cells (965 single cells)|Many chromatin features play critical regulating gene expression complete understanding regulation require mapping specific high resolution describe Cleavage Under Targets Tagmentation|
GSE124690|cut_and_tag|Homo sapiens|2739|GSE124690_RAW.tar(2.6GB)||CUT&Tag for efficient epigenomic profiling of small samples and single cells.|SuperSeries composed SubSeries listed|
GSE124683|cut_and_tag|Homo sapiens|807|GSE124683_RAW.tar(48MB)|immunology,epigenetics,gene_regulation|CUT&Tag for efficient epigenomic profiling of small samples and single cells (807 single cells)|Many chromatin features play critical regulating gene expression complete understanding regulation require mapping specific high resolution describe Cleavage Under Targets Tagmentation|
GSE124680|cut_and_tag|Homo sapiens|908|GSE124680_RAW.tar(72MB)|immunology,epigenetics,gene_regulation|CUT&Tag for efficient epigenomic profiling of small samples and single cells (908 single cells)|Many chromatin features play critical regulating gene expression complete understanding regulation require mapping specific high resolution describe Cleavage Under Targets Tagmentation|
GSE137320|cut_and_run|Mus musculus|11|GSE137320_RAW.tar(3.9GB)|development,gene_regulation|c-Maf regulates the plasticity of group 3 innate lymphoid cells by restraining the type 1 program [CUT&RUN]|transcription factor essential regulator ILC homeostasis effector limits acquisition conversion ILC1 fate restraint T-bet expression|
GSE136251|cut_and_run|Homo sapiens|5|GSE136251_RAW.tar(7MB)|immunology,development,epigenetics,gene_regulation,eye_vision|Demonstration of CUT&RUN motif footprint analysis using key blood progenitor transcription factors|introduce RUNTools https bitbucket org/qzhudfci/cutruntools flexible general pipeline facilitating identification chromatin-associated protein binding genomic footprinting antibody-targeted primary|
GSE134749|cut_and_run|Mus musculus|6|GSE134749_RAW.tar(333MB)|immunology,development,skeletal_muscle,hematopoiesis,cell_stress|Genome-wide CUT&RUN sequencing of H3K27me3 mark across different stages of T-cell development.|present hematopoietic progenitor cells following differentiation cKit bone marrow monoallelic Bcl11b expressing DN2 progenitors one active inactive allele biallelic alleles|
GSE125496|cut_and_run|Mus musculus|34|GSE125496_VitC_all_CnR_VOOM_Toptable.xlsx(5MB)|development,epigenetics|Maternal Vitamin C regulates DNA demethylation and devlopment of the mouse embryonic germline [Cut&Run]|required vivo proper development fetal cells model deficiency Withdrawal diet affect overall leads defects persist re-supply gestation transcriptome C-deficient embryos remarkably similar carrying|
GSE138528|cut_and_run|Mus musculus|16|GSE138528_ctcf_CUTRUN_all.peaks.count.csv.gz(3MB), GSE138528_h3k27ac_CUTRUN_all_regions.count.csv.gz(12MB), GSE138528_h3k27me3_CUTRUN_all.regions.count.csv.gz(9MB), GSE138528_h3k4me1_CUTRUN_all.regions.csv.gz(11MB)|cardiovascular,epigenetics,skeletal_muscle,crispr_gene_editing,gene_regulation|Long-range Pitx2c Enhancer Promoter Interactions Prevent Predisposition to Atrial Fibrillation [ChIP-seq]|Genome-wide association GWAS increased risk most common type arrhythmia humans non-coding sequence variants located proximity homeobox gene cardiomyocyte-specific epigenomic comparative genomic|
GSE146858|cut_and_run|Homo sapiens|4|GSE146858_RAW.tar(1.0GB)|cancer,neuroscience,metabolism,epigenetics,cell_stress|Metabolic regulation of the epigenome drives lethal infantile ependymoma [Cut&Run]|PFA posterior fossa group ependymomas glial malignancy hindbrain infants toddlers Lacking highly recurrent somatic mutations PFAs proposed largely epigenetically driven tumor type almost complete|
GSE140496|cut_and_run|Mus musculus|5|GSE140496_RAW.tar(520KB)|cancer,development,crispr_gene_editing,signal_transduction|In vivo CRISPR screens reveal NOTCH regulators suppressing Head and Neck Squamous Cell Carcinoma in mice [Cut&Run]|most cancers few genes mutated high frequencies while vast majority low recurrent infrequent long-tail mutations largely elusive develop assess transforming potential 484 human HNSCC|
GSE139538|cut_and_run|Toxoplasma gondii|2|GSE139538_RAW.tar(46MB)||CUT&RUN profiling of genomic BFD1 binding sites|epitope-tagged BFD1-complemented strain assessed alkaline-stress induced bradyzoites|
GSE151326|cut_and_run|Homo sapiens|50|GSE151326_RAW.tar(3.3GB)|immunology,epigenetics,rna_biology|Large-scale evaluation of renewable PRCP monoclonal antibodies by ChIP-exo, STORM, and …|chromatin organization involves use directed against thousands distinct proteins spanning numerous isoforms post-translationally modified variants human nucleus essential epitope-tagging impractical|
GSE151287|cut_and_run|Homo sapiens|1666|GSE151287_bed.tar.gz(14MB), GSE151287_processed_data1_bw.tar.gz(1.4GB), GSE151287_processed_data2_bw.tar.gz(1.1GB), GSE151287_processed_data3_bw.tar.gz(1.1GB), GSE151287_processed_data4_bw.tar.gz(950MB), GSE151287_processed_data5_bw.tar.gz(1.4GB), GSE151287_processed_data6_bw.tar.gz(1.6GB)|immunology,epigenetics,gene_regulation|Screening of PCRP transcription factor antibodies in biochemical assays|offer powerful means interrogate specific proteins complex milieu epitope tagging impractical antibody reliability problematic Protein Capture Reagents Program generated over thousand renewable|
GSE146860|cut_and_run|Mus musculus|26|GSE146860_K4me3_K27me3_and_K9me3_CnR_at_DM_LINE1_log2_Read_density_normalised.xlsx(368KB), GSE146860_K4me3_K27me3_and_K9me3_CnR_at_DM_Promoters_log2_Read_density_normalised.xlsx(142KB)|development,epigenetics,crispr_gene_editing,microbiology,signal_transduction|Dppa2/4 Counteract De Novo Methylation to Establish a Permissive Epigenome for Development [Cut&Run]|Early mammalian entails widespread remodeling DNA erasure reacquisition facilitates developmental competence uncover orchestrate global focal DNAme dynamics coupled single-cell ratiometric reporter|
GSE146082|cut_and_run|Mus musculus|35|GSE146082_H2AZ_30_80bp_vs_Input_peaks.bed.gz(792KB), GSE146082_H2AZ_80_168bp_vs_Input_peaks.bed.gz(834KB), GSE146082_H2AZ_vs_Input_peaks.bed.gz(1MB), GSE146082_RAW.tar(12.3GB)|epigenetics,cell_stress|Histone variant H2A.Z regulates nucleosome unwrapping and CTCF binding in mouse ES cells|basic structural unit chromatin dynamics plays critical regulation genome structure regulated variants vivo still largely uncharacterized employing Micrococcal nuclease MNase digestion crosslinked|
GSE148187|cut_and_run|Homo sapiens|1|GSE148187_RAW.tar(10KB)|cell_cycle|Re-localization of CENP-A at centromeres upon depletion and re-expression|human cell line centromeric protein removed re-expressed Possible subsequent changes CUT RUN-seq|
GSE157728|cut_and_tag|Gallus gallus|8|GSE157728_RAW.tar(870KB)|metabolism,liver|CUT&Tag for analysis of Nrf2-regulated genes in liver of heat-stressed chicken (Gallus gallus)|aim present difference livers normal chickens high-throughput sequencing technologies experiment 13171838 15417444 clean reads obtained suggested many|
GSE118099|cut_and_run|Homo sapiens|37|GSE118099_RAW.tar(2.0GB)|cancer,neuroscience,development,epigenetics,gene_regulation|Cell-of-origin and Developmental Trajectories Cooperate to Determine Chromatin Landscapes in Histone-Mutant Diffuse Midline Gliomas|DMGs universally fatal pediatric brain tumors mutations genes encoding either often substitution methionine lysine H3K27M H3K27 critical determinant state via methylation Enhancer-of-Zeste-Homolog-2|
GSE148103|cut_and_run|Homo sapiens|16|GSE148103_DMSO_d6_H3K27ac.bam.normalized.bw(89MB), GSE148103_DMSO_d6_H3K27me3.bam.normalized.bw(56MB), GSE148103_DMSO_d6_H3K4me1.bam.normalized.bw(59MB), GSE148103_GSK_d6_H3K27ac.bam.normalized.bw(87MB), GSE148103_GSK_d6_H3K27me3.bam.normalized.bw(110MB), GSE148103_GSK_d6_H3K4me1.bam.normalized.bw(84MB)|cancer,epigenetics,skin,drug_response,signal_transduction|Chromatin profiling upon pharmacological LSD1 inhibition in MCC [CUT&RUN]|Merkel cell carcinoma highly aggressive neuroendocrine skin cancer lacks actionable mutations utilized targeted therapies Epigenetic regulators governing identity represent unexplored therapeutic|
GSE152144|cut_and_run|Homo sapiens|169|GSE152144_RAW.tar(38.0GB)|immunology,epigenetics|Screening of PCRP transcription 1 factor antibodies in biochemical assays|offer powerful means interrogate specific proteins complex milieu epitope tagging impractical antibody availability reliability problematic Protein Capture Reagents Program generated over thousand|
GSE157053|cut_and_run|Bos taurus|4|GSE157053_RAW.tar(480MB)|development,epigenetics|Profiling of histone modifications in bovine embryonic stem cells|H3K27me3 H3K4me3 Cut Run|
GSE155824|cut_and_run|Homo sapiens|11|GSE155824_RAW.tar(1.6GB)|epigenetics|Epigenomic profiling of H3K9me3 in the absence and presence of Periphilin variants|Targeted method CUT RUN examine PPHLN-regulated deposition chromatin|
GSE155693|cut_and_tag|Homo sapiens|26|GSE155693_393-TASOR-regulated-H3K9me3-loci.bed.gz(4KB), GSE155693_RAW.tar(3.4GB)|epigenetics|Epigenomic profiling of TASOR in Hela cells using CUT&RUN and CUT&Tag|Targeted methods examine genome binding TASOR-regulated H3K9me3 deposition chromatin|
GSE145331|cut_and_run|Picea abies|5|GSE145331_RAW.tar(4.4GB)|development,epigenetics|Profiling of histone modification H3K27me3 in Norway spruce embryonic calli and non-embryonic calli|profilings CUT RUN method Skene 2017 callus Picea abies identify genes related somatic embryogenesis capacity|
GSE145187|cut_and_tag|Homo sapiens|44|GSE145187_CnT_d2PCR_Protocols_io_v3beta.pdf(241KB), GSE145187_CnT_Protocols_io_v2.pdf(403KB), GSE145187_RAW.tar(1.3GB)|cancer,immunology,epigenetics|Low-cost high-resolution chromatin profiling with CUT&Tag|recently introduced epigenomic strategy antibodies bound proteins situ permeabilized nuclei tether cut-and-paste transposase Tn5 Activation simultaneously cleaves DNA adds sequencing adapters|
GSE160242|cut_and_run|Homo sapiens|31|GSE160242_RAW.tar(2.2GB)|cancer,epigenetics,kidney,hematopoiesis,gene_regulation|Definition of a Small Core Transcriptional Circuit Regulated by AML1-ETO [ChIP-seq and CUT&RUN]|factors gene networks controlling normal hematopoiesis frequently deregulated acute myeloid leukemia Critical understanding cellular transformation oncogenic ability define direct targets network|
GSE153279|cut_and_run|Homo sapiens|9|GSE153279_042420_HA-AE_cutandrun_diffbind-deseq2_q0.001.csv.gz(2MB), GSE153279_042420_HA_AE_Diffbind-peakinfo_q0.001.csv.gz(554KB), GSE153279_CD34_HA_merged_noNeg_nomodel_extsize300_q0.001_peaks.txt.gz(690KB), GSE153279_New_ZnF_q0.001_peaks.txt.gz(135KB), GSE153279_RAW.tar(1.1GB)|cancer,epigenetics,kidney,hematopoiesis,gene_regulation|Definition of a Small Core Transcriptional Circuit Regulated by AML1-ETO [ChIP-seq, Cut&Run]|factors gene networks controlling normal hematopoiesis frequently deregulated acute myeloid leukemia Critical understanding cellular transformation oncogenic ability define direct targets network|
GSE150529|cut_and_run|Homo sapiens|54|GSE150529_RAW.tar(7.5GB)|epigenetics,hematopoiesis,crispr_gene_editing,gene_regulation|Transcription factor competition at the γ-globin promoters controls hemoglobin switching [CUT&RUN]|BCL11A major regulator HbF 2γ2 level represses expression direct binding adult erythroid cells adult-type HbA 2β2 production uncover initiates repression CRISPR/Cas9 dCas9 screens dissect apparent|
GSE150490|cut_and_run|Homo sapiens|6|GSE150490_RAW.tar(2.0GB)|epigenetics,hematopoiesis,crispr_gene_editing,gene_regulation|Transcription factor competition at the γ-globin promoters controls hemoglobin switching [ChIP-seq]|BCL11A major regulator HbF 2γ2 level represses expression direct binding adult erythroid cells adult-type HbA 2β2 production uncover initiates repression CRISPR/Cas9 dCas9 screens dissect apparent|
GSE162661|cut_and_tag|Gallus gallus|8|GSE162661_RAW.tar(930KB)|metabolism,liver|CUT&Tag for analysis of Nrf2-regulated genes in liver of heat-stressed chicken (Gallus gallus)|high-throughput sequencing technologies experiment 54857512-63235094 clean reads obtained|
GSE146734|cut_and_run|Mus musculus|6|GSE146734_CUTRUN_Nppa-bdKO_HOM_merged.bigwig(446MB), GSE146734_CUTRUN_Nppa-bdKO_WT_merged.bigwig(417MB), GSE146734_RAW.tar(4MB)|cardiovascular,epigenetics,crispr_gene_editing,gene_regulation|Genetic dissection of a super enhancer controlling the Nppa-Nppb locus in the heart (CUT&RUN)|H3K27ac PCM-1 sorted left ventricle double-knockout|
GSE129954|cut_and_run|Mus musculus|32|GSE129954_RAW.tar(3.1GB)|immunology,development,metabolism,epigenetics,infectious_disease,gene_regulation,cell_cycle|iMEF SDHC-loss stable line CUT&RUN|developed tet-inducible SV-40 large antigen-expressing lentivirus-immortalized mouse embryonic fibroblast cell culture model mitochondrial electron transport chain ETC dysfunction involving complex|
GSE155666|cut_and_run|Homo sapiens|13|GSE155666_RAW.tar(1.8GB)|cancer,epigenetics,lung_respiratory,gene_regulation,signal_transduction|CUT&RUN reveals unique positioning of pre-initiated RNA polymerase II in the steady state of transcription|powerful tool protein-DNA interactions vivo DNA fragments cleaved targeted micrococcal nuclease identify footprints DNA-binding proteins chromatin human lung carcinoma cell line A549 maintained|
GSE158838|cut_and_run|Mus musculus|12|GSE158838_RAW.tar(1.1GB)|neuroscience,drug_response,gene_regulation|Bidirectional perisomatic inhibitory plasticity of a Fos neuronal network [CUT&RUN]|Behavioral experiences activate transcription factor sparse populations neurons critical encoding recalling specific events limited understanding experience drives circuit reorganization establish|
GSE161679|cut_and_run|Mus musculus|12|GSE161679_RAW.tar(3.8GB)|cancer,neuroscience,development,cell_stress,signal_transduction|ZFTA-RELA Dictates Oncogenic Transcriptional Programs to Drive Aggressive Supratentorial Ependymoma|Over ependymomas harbor ZRfus gene fusion formerly C11orf95-RELA biology developed autochthonous mouse tumor model utero electroporation IUE embryonic brain Integrative epigenomic transcriptomic|
GSE156756|cut_and_run|Mus musculus|3|GSE156756_Atoh7_goodpeaks.csv.gz(60KB)|neuroscience,development,eye_vision|Atoh7-independent specification of retinal ganglion cell identity|Cut Run developing mouse|
GSE162778|cut_and_tag|Mus musculus|8|GSE162778_RAW.tar(109MB)|development,fibrosis_wound,skeletal_muscle,gene_regulation|Negative Elongation Factor (NELF) regulates muscle progenitor expansion for efficient myofiber repair and stem cell pool repopulation [S5_RNApolII_Cut&Tag]|critical transcriptional regulator works stabilizing paused Polymerase permit rapid gene expression changes response environmental cues Whilst essential embryonic development adult cells|
GSE162777|cut_and_tag|Mus musculus|6|GSE162777_RAW.tar(42MB)|development,fibrosis_wound,skeletal_muscle,gene_regulation|Negative Elongation Factor (NELF) regulates muscle progenitor expansion for efficient myofiber repair and stem cell pool repopulation [NelfE_Cut&Tag]|critical transcriptional regulator works stabilizing paused RNA Polymerase permit rapid gene expression changes response environmental cues Whilst essential embryonic development adult cells|
GSE162776|cut_and_tag|Mus musculus|2|GSE162776_RAW.tar(35MB)|development,fibrosis_wound,skeletal_muscle,gene_regulation|Negative Elongation Factor (NELF) regulates muscle progenitor expansion for efficient myofiber repair and stem cell pool repopulation [H3K4me3_Cut&Tag]|critical transcriptional regulator works stabilizing paused RNA Polymerase permit rapid gene expression changes response environmental cues Whilst essential embryonic development adult cells|
GSE160059|cut_and_run|Homo sapiens|7|GSE160059_RAW.tar(544MB)|development,epigenetics,kidney,cell_stress,gene_regulation|BAHD1 couples H3K27me3 to gene silencing via a conserved BAH reader module and associated corepressor complex in mammals (CUT&RUN)|Trimethylation histone lysine crucially epi genome organization cell-fate decision-making development date functional readout viewed achieved mainly class H3K27me3-recognizing chromodomains harbored|
GSE153529|cut_and_run|Mus musculus|29|GSE153529_H2Aub_1cell_Mat.bw(46MB), GSE153529_H2Aub_1Cell_Mat.merged.bw(91MB), GSE153529_H2Aub_1Cell.merged.bw(208MB), GSE153529_H2Aub_1cell_Pat.bw(16MB), GSE153529_H2Aub_1Cell_Pat.merged.bw(40MB), GSE153529_H2Aub_1C_WT.bw(73MB), GSE153529_H2Aub_2Cell_Mat.bw(110MB), GSE153529_H2Aub_2Cell_Pat.bw(118MB), GSE153529_H2Aub_2C_WT.bw(104MB), GSE153529_H2Aub_4Cell_Eedko_Mat.bw(118MB), GSE153529_H2Aub_4Cell_Eedko_Pat.bw(97MB), GSE153529_H2Aub_4Cell_Mat.bw(113MB), GSE153529_H2Aub_4Cell_Pat.bw(109MB), GSE153529_H2Aub_4C_WT.bw(114MB), GSE153529_H2Aub_ChromHMM_types.bed.gz(267KB), GSE153529_H2Aub_Epi_E65.bw(115MB), GSE153529_H2Aub_Epi_E65_Mat.bw(65MB), GSE153529_H2Aub_Epi_E65_Pat.bw(63MB), GSE153529_H2Aub_GV_EedKO.bw(157MB), GSE153529_H2Aub_GV.merged.bw(185MB), GSE153529_H2Aub_GV_WT.bw(150MB), GSE153529_H2Aub_ICM_Mat.bw(39MB), GSE153529_H2Aub_ICM_Pat.bw(37MB), GSE153529_H2Aub_ICM_WT.bw(79MB), GSE153529_H2Aub_MII.merged.bw(93MB), GSE153529_H2Aub_MII_oocyte.bw(42MB), GSE153529_H2Aub_Morula_EedKO_Mat.bw(158MB), GSE153529_H2Aub_Morula_EedKO_Pat.bw(139MB), GSE153529_H2Aub_Morula_Mat.bw(143MB), GSE153529_H2Aub_Morula_Pat.bw(136MB), GSE153529_H2Aub_Morula_WT.bw(118MB), GSE153529_H3K27me3_GV_WT.bw(68MB), GSE153529_PR-DUB_CTR_4cell_H2Aub_rep1.bw(197MB), GSE153529_PR-DUB_CTR_4cell_K27me3_rep1_Mat.bw(45MB), GSE153529_PR-DUB_CTR_4cell_K27me3_rep1_Pat.bw(29MB), GSE153529_PR-DUB_CTR_4cell_K27me3_rep2_Mat.bw(35MB), GSE153529_PR-DUB_CTR_4cell_K27me3_rep2_Pat.bw(21MB), GSE153529_PR-DUB_OE_4cell_H2Aub_rep1.bw(23MB), GSE153529_PR-DUB_OE_4cell_K27me3_rep1_Mat.bw(43MB), GSE153529_PR-DUB_OE_4cell_K27me3_rep1_Pat.bw(26MB), GSE153529_PR-DUB_OE_4cell_K27me3_rep2_Mat.bw(36MB), GSE153529_PR-DUB_OE_4cell_K27me3_rep2_Pat.bw(25MB)|development,epigenetics,reproduction,plant_biology,cell_stress|Distinct dynamics and functions of H2AK119ub and H3K27me3 in mouse preimplantation embryos (CUT&RUN)|Polycomb repressive complexes PRC1/2 maintain transcriptional silencing developmental genes largely catalyzing mono-ubiquitination histone lysine H2AK119ub1 trimethylation domains reprogrammed|
GSE157664|cut_and_run|Drosophila melanogaster|3|GSE157664_RAW.tar(9MB)|development,epigenetics,cell_stress,gene_regulation|Cooperative Binding between distant Transcription Factors is a Hallmark of Active Enhancers|harbor motifs recruit TFs gene activation While critical transcriptional handful developmental extent cooperativity genome-wide unknown couple high-resolution nuclease footprinting single-molecule|
GSE167353|cut_and_tag|Mus musculus|96|GSE167353_RAW.tar(2.9GB)|development,cell_stress,gene_regulation,signal_transduction|CUT&Tag on H3K4me3, H3K27ac, H3K4me1, H3K9me3, H3K27me3, H3K36me3 and H2AK119ub in TX1072 XXΔXic and XO mESCs during differentiation|Developmental genes controlled complex cis-regulatory landscapes integrate multiple signals ensure correct spatio-temporal expression pattern investigate regulatory principles use Xist locus model|
GSE166433|cut_and_tag|Mus musculus|9|GSE166433_RAW.tar(2MB)|development,epigenetics,hematopoiesis|Genome-wide Maps of Chromatin State in Control and DEK-deficient Hematopoietic Stem Cells [CUT&Tag]|Purpose identify regulating gene expression HSC mice H3K27ac H3K4me3 H3K9ac LSK freshly sorted|
